2026-06-22 00:46:35,823 | WARNING | SOC | LDAP unavailable: invalid server address
2026-06-22 00:47:22,354 | WARNING | SOC | LDAP unavailable: invalid server address
2026-06-22 00:48:01,596 | WARNING | SOC | LDAP unavailable: invalid server address
2026-06-22 00:48:16,872 | WARNING | SOC | LDAP unavailable: invalid server address
2026-06-22 00:53:42,344 | WARNING | SOC | LDAP unavailable: invalid server address
2026-06-22 00:56:12,421 | WARNING | SOC | LDAP unavailable: invalid server address
2026-06-22 00:56:19,121 | WARNING | SOC | LDAP unavailable: invalid server address
2026-06-22 00:56:45,932 | WARNING | SOC | LDAP unavailable: invalid server address
2026-06-22 01:00:00,000 | INFO | SOC | Running daily audit
2026-06-22 01:00:00,127 | WARNING | SOC | LDAP unavailable: invalid server address
2026-06-22 01:00:41,494 | WARNING | SOC | LDAP unavailable: invalid server address
